Date,Type,Name,Start,End,Duration
9/8/14,place,Home,2014-09-08T00:00:00-04:00,2014-09-08T07:17:27-04:00,26247
9/8/14,move,walking,2014-09-08T07:17:27-04:00,2014-09-08T07:44:26-04:00,1619
9/8/14,place,Harvard Innovation Lab,2014-09-08T07:44:27-04:00,2014-09-08T08:56:26-04:00,4319
9/8/14,move,walking,2014-09-08T08:56:26-04:00,2014-09-08T08:57:07-04:00,41
9/8/14,place,Aldrich Hall,2014-09-08T08:57:07-04:00,2014-09-08T16:09:28-04:00,25941
9/8/14,move,walking,2014-09-08T16:09:28-04:00,2014-09-08T16:21:45-04:00,737
9/8/14,place,Leverett House,2014-09-08T16:21:45-04:00,2014-09-08T16:23:55-04:00,130
9/8/14,move,walking,2014-09-08T16:23:55-04:00,2014-09-08T16:30:38-04:00,403
9/8/14,place,Broadway Marketplace,2014-09-08T16:30:38-04:00,2014-09-08T16:36:14-04:00,336
9/8/14,move,walking,2014-09-08T16:36:14-04:00,2014-09-08T16:40:59-04:00,285
9/8/14,place,Home,2014-09-08T16:40:59-04:00,2014-09-08T19:11:43-04:00,9044
9/8/14,move,walking,2014-09-08T19:11:43-04:00,2014-09-08T19:22:02-04:00,619
9/8/14,place,Border Cafe,2014-09-08T19:22:02-04:00,2014-09-08T21:10:49-04:00,6527
9/8/14,move,walking,2014-09-08T21:10:49-04:00,2014-09-08T21:23:54-04:00,785
9/8/14,place,Home,2014-09-08T21:23:54-04:00,2014-09-09T00:00:00-04:00,9366
9/9/14,place,Home,2014-09-09T00:00:00-04:00,2014-09-09T06:55:36-04:00,24936
9/9/14,move,walking,2014-09-09T06:55:36-04:00,2014-09-09T07:22:10-04:00,1594
9/9/14,place,Harvard Innovation Lab,2014-09-09T07:22:09-04:00,2014-09-09T08:57:25-04:00,5716
9/9/14,move,walking,2014-09-09T08:57:25-04:00,2014-09-09T09:04:50-04:00,445
9/9/14,place,Aldrich Hall,2014-09-09T09:04:49-04:00,2014-09-09T14:50:19-04:00,20730
9/9/14,move,walking,2014-09-09T14:50:19-04:00,2014-09-09T15:15:20-04:00,1501
9/9/14,place,Home,2014-09-09T15:15:20-04:00,2014-09-09T18:30:54-04:00,11734
9/9/14,move,walking,2014-09-09T18:30:54-04:00,2014-09-09T18:35:10-04:00,256
9/9/14,place,Broadway Marketplace,2014-09-09T18:35:10-04:00,2014-09-09T18:38:28-04:00,198
9/9/14,move,walking,2014-09-09T18:38:28-04:00,2014-09-09T18:42:15-04:00,227
9/9/14,place,Home,2014-09-09T18:42:15-04:00,2014-09-10T00:00:00-04:00,19065
9/10/14,place,Home,2014-09-10T00:00:00-04:00,2014-09-10T09:56:18-04:00,35778
9/10/14,move,walking,2014-09-10T09:56:18-04:00,2014-09-10T10:19:54-04:00,1416
9/10/14,place,Spangler Center,2014-09-10T10:19:54-04:00,2014-09-10T17:16:19-04:00,24985
9/10/14,move,walking,2014-09-10T17:16:19-04:00,2014-09-10T17:40:44-04:00,1465
9/10/14,place,Home,2014-09-10T17:40:45-04:00,2014-09-10T21:59:13-04:00,15508
9/10/14,move,walking,2014-09-10T21:59:13-04:00,2014-09-10T22:07:54-04:00,521
9/10/14,place,Will Whitney and Benjana Guraziu Home,2014-09-10T22:07:53-04:00,2014-09-10T22:20:55-04:00,782
9/10/14,move,transport,2014-09-10T22:20:55-04:00,2014-09-10T22:42:37-04:00,1302
9/10/14,place,Whisky Saigon,2014-09-10T22:42:37-04:00,2014-09-10T23:43:21-04:00,3644
9/10/14,move,walking,2014-09-10T23:43:21-04:00,2014-09-10T23:47:52-04:00,271
9/10/14,move,transport,2014-09-10T23:47:52-04:00,2014-09-10T23:59:59-04:00,727
9/11/14,move,transport,2014-09-11T00:00:00-04:00,2014-09-11T00:04:54-04:00,294
9/11/14,move,walking,2014-09-11T00:04:54-04:00,2014-09-11T00:08:50-04:00,236
9/11/14,place,Home,2014-09-11T00:08:50-04:00,2014-09-11T07:30:26-04:00,26496
9/11/14,move,walking,2014-09-11T07:30:26-04:00,2014-09-11T07:43:29-04:00,783
9/11/14,place,Starbucks,2014-09-11T07:43:29-04:00,2014-09-11T07:47:23-04:00,234
9/11/14,move,walking,2014-09-11T07:47:23-04:00,2014-09-11T08:02:16-04:00,893
9/11/14,place,Aldrich Hall,2014-09-11T08:02:15-04:00,2014-09-11T09:47:08-04:00,6293
9/11/14,move,walking,2014-09-11T09:47:08-04:00,2014-09-11T10:00:59-04:00,831
9/11/14,place,Harvard Innovation Lab,2014-09-11T10:00:58-04:00,2014-09-11T12:04:11-04:00,7393
9/11/14,move,walking,2014-09-11T12:04:11-04:00,2014-09-11T12:07:46-04:00,215
9/11/14,move,transport,2014-09-11T12:07:46-04:00,2014-09-11T12:12:16-04:00,270
9/11/14,move,walking,2014-09-11T12:12:17-04:00,2014-09-11T12:22:55-04:00,638
9/11/14,place,Orinoco,2014-09-11T12:22:55-04:00,2014-09-11T13:35:23-04:00,4348
9/11/14,move,walking,2014-09-11T13:35:23-04:00,2014-09-11T13:38:03-04:00,160
9/11/14,place,The Red House Restaurant,2014-09-11T13:38:04-04:00,2014-09-11T14:39:34-04:00,3690
9/11/14,move,walking,2014-09-11T14:39:34-04:00,2014-09-11T14:58:39-04:00,1145
9/11/14,place,Place in Allston,2014-09-11T14:58:39-04:00,2014-09-11T18:09:04-04:00,11425
9/11/14,move,walking,2014-09-11T18:09:04-04:00,2014-09-11T18:21:50-04:00,766
9/11/14,place,Park,2014-09-11T18:21:50-04:00,2014-09-11T19:49:05-04:00,5235
9/11/14,move,walking,2014-09-11T19:49:05-04:00,2014-09-11T20:01:39-04:00,754
9/11/14,place,Place in Old Cambridge,2014-09-11T20:01:39-04:00,2014-09-11T20:07:33-04:00,354
9/11/14,move,walking,2014-09-11T20:07:33-04:00,2014-09-11T20:12:46-04:00,313
9/11/14,place,Place in Cambridgeport,2014-09-11T20:12:46-04:00,2014-09-11T21:46:00-04:00,5594
9/11/14,move,walking,2014-09-11T21:46:00-04:00,2014-09-11T22:02:09-04:00,969
9/11/14,place,Home,2014-09-11T22:02:09-04:00,2014-09-12T00:00:00-04:00,7071
9/12/14,place,Home,2014-09-12T00:00:00-04:00,2014-09-12T06:48:38-04:00,24518
9/12/14,move,walking,2014-09-12T06:48:38-04:00,2014-09-12T07:00:54-04:00,736
9/12/14,place,Starbucks,2014-09-12T07:00:53-04:00,2014-09-12T07:03:06-04:00,133
9/12/14,move,walking,2014-09-12T07:03:06-04:00,2014-09-12T07:21:36-04:00,1110
9/12/14,place,Harvard Innovation Lab,2014-09-12T07:21:37-04:00,2014-09-12T08:52:31-04:00,5454
9/12/14,move,walking,2014-09-12T08:52:31-04:00,2014-09-12T09:01:48-04:00,557
9/12/14,place,Aldrich Hall,2014-09-12T09:01:47-04:00,2014-09-12T15:01:38-04:00,21591
9/12/14,move,walking,2014-09-12T15:01:38-04:00,2014-09-12T15:06:21-04:00,283
9/12/14,place,Place in Allston,2014-09-12T15:06:22-04:00,2014-09-12T15:10:13-04:00,231
9/12/14,move,walking,2014-09-12T15:10:13-04:00,2014-09-12T15:15:06-04:00,293
9/12/14,place,Aldrich Hall,2014-09-12T15:15:06-04:00,2014-09-12T17:42:05-04:00,8819
9/12/14,move,walking,2014-09-12T17:42:05-04:00,2014-09-12T17:58:08-04:00,963
9/12/14,place,The Charles Hotel,2014-09-12T17:58:08-04:00,2014-09-12T19:41:51-04:00,6223
9/12/14,move,walking,2014-09-12T19:41:51-04:00,2014-09-12T19:52:57-04:00,666
9/12/14,move,transport,2014-09-12T19:52:57-04:00,2014-09-12T19:59:23-04:00,386
9/12/14,place,Home,2014-09-12T19:59:23-04:00,2014-09-13T00:00:00-04:00,14437
9/13/14,place,Home,2014-09-13T00:00:00-04:00,2014-09-13T15:34:07-04:00,56047
9/13/14,move,walking,2014-09-13T15:34:07-04:00,2014-09-13T15:48:26-04:00,859
9/13/14,place,Hemenway Gym,2014-09-13T15:48:26-04:00,2014-09-13T16:23:08-04:00,2082
9/13/14,move,walking,2014-09-13T16:23:08-04:00,2014-09-13T16:38:06-04:00,898
9/13/14,place,Home,2014-09-13T16:38:06-04:00,2014-09-14T00:00:00-04:00,26514
9/14/14,place,Home,2014-09-14T00:00:00-04:00,2014-09-14T13:03:42-04:00,47022
9/14/14,move,walking,2014-09-14T13:03:42-04:00,2014-09-14T13:18:26-04:00,884
9/14/14,place,Staples,2014-09-14T13:18:26-04:00,2014-09-14T13:24:40-04:00,374
9/14/14,move,walking,2014-09-14T13:24:40-04:00,2014-09-14T13:30:53-04:00,373
9/14/14,place,Adams House,2014-09-14T13:30:52-04:00,2014-09-14T13:33:19-04:00,147
9/14/14,move,walking,2014-09-14T13:33:19-04:00,2014-09-14T13:45:21-04:00,722
9/14/14,place,Home,2014-09-14T13:45:21-04:00,2014-09-15T00:00:00-04:00,36879
