Date,Type,Name,Start,End,Duration
2/24/14,place,Home,2014-02-24T00:00:00-06:00,2014-02-24T07:44:57-06:00,27897
2/24/14,move,walking,2014-02-24T07:44:57-06:00,2014-02-24T08:03:15-06:00,1098
2/24/14,place,Mitchell Dong,2014-02-24T08:03:15-06:00,2014-02-24T09:27:57-06:00,5082
2/24/14,move,walking,2014-02-24T09:27:57-06:00,2014-02-24T09:36:28-06:00,511
2/24/14,place,Caspersen Student Center,2014-02-24T09:36:28-06:00,2014-02-24T09:53:56-06:00,1048
2/24/14,move,walking,2014-02-24T09:53:56-06:00,2014-02-24T09:57:33-06:00,217
2/24/14,place,Proximate,2014-02-24T09:57:33-06:00,2014-02-24T11:32:48-06:00,5715
2/24/14,move,walking,2014-02-24T11:32:48-06:00,2014-02-24T11:42:33-06:00,585
2/24/14,place,Border Cafe,2014-02-24T11:42:33-06:00,2014-02-24T12:50:59-06:00,4106
2/24/14,move,walking,2014-02-24T12:50:59-06:00,2014-02-24T13:01:36-06:00,637
2/24/14,place,Proximate,2014-02-24T13:01:35-06:00,2014-02-24T15:08:02-06:00,7587
2/24/14,move,walking,2014-02-24T15:08:02-06:00,2014-02-24T15:18:43-06:00,641
2/24/14,place,Starbucks,2014-02-24T15:18:43-06:00,2014-02-24T15:21:04-06:00,141
2/24/14,move,walking,2014-02-24T15:21:04-06:00,2014-02-24T15:25:14-06:00,250
2/24/14,place,Harvard Alumni Association,2014-02-24T15:25:14-06:00,2014-02-24T16:36:03-06:00,4249
2/24/14,move,walking,2014-02-24T16:36:03-06:00,2014-02-24T16:44:20-06:00,497
2/24/14,place,Place in Old Cambridge,2014-02-24T16:44:20-06:00,2014-02-24T16:51:07-06:00,407
2/24/14,move,walking,2014-02-24T16:51:08-06:00,2014-02-24T17:01:20-06:00,612
2/24/14,place,Broadway Marketplace,2014-02-24T17:01:19-06:00,2014-02-24T17:09:43-06:00,504
2/24/14,move,walking,2014-02-24T17:09:43-06:00,2014-02-24T17:14:27-06:00,284
2/24/14,place,Home,2014-02-24T17:14:28-06:00,2014-02-25T00:00:00-06:00,24332
2/25/14,place,Home,2014-02-25T00:00:00-06:00,2014-02-25T09:57:59-06:00,35879
2/25/14,move,walking,2014-02-25T09:57:59-06:00,2014-02-25T10:02:08-06:00,249
2/25/14,place,Place in Old Cambridge,2014-02-25T10:02:08-06:00,2014-02-25T10:04:59-06:00,171
2/25/14,move,walking,2014-02-25T10:04:59-06:00,2014-02-25T10:16:10-06:00,671
2/25/14,place,Proximate,2014-02-25T10:16:10-06:00,2014-02-25T11:47:11-06:00,5461
2/25/14,move,walking,2014-02-25T11:47:11-06:00,2014-02-25T11:51:21-06:00,250
2/25/14,place,Caspersen Student Center,2014-02-25T11:51:21-06:00,2014-02-25T12:37:01-06:00,2740
2/25/14,move,walking,2014-02-25T12:37:01-06:00,2014-02-25T12:40:13-06:00,192
2/25/14,place,Proximate,2014-02-25T12:40:13-06:00,2014-02-25T12:43:30-06:00,197
2/25/14,move,walking,2014-02-25T12:43:30-06:00,2014-02-25T12:56:28-06:00,778
2/25/14,place,Home,2014-02-25T12:56:28-06:00,2014-02-26T00:00:00-06:00,39812
2/26/14,place,Home,2014-02-26T00:00:00-06:00,2014-02-27T00:00:00-06:00,86400
2/27/14,place,Home,2014-02-27T00:00:00-06:00,2014-02-27T07:22:09-06:00,26529
2/27/14,move,walking,2014-02-27T07:22:09-06:00,2014-02-27T07:37:54-06:00,945
2/27/14,move,transport,2014-02-27T07:37:55-06:00,2014-02-27T07:57:26-06:00,1171
2/27/14,move,walking,2014-02-27T07:57:26-06:00,2014-02-27T08:00:04-06:00,158
2/27/14,place,Amtrak South Station,2014-02-27T08:00:03-06:00,2014-02-27T08:30:58-06:00,1855
2/27/14,move,transport,2014-02-27T08:30:58-06:00,2014-02-27T16:29:12-06:00,28694
2/27/14,move,walking,2014-02-27T16:29:11-06:00,2014-02-27T16:35:44-06:00,393
2/27/14,place,Union Station | Gate K,2014-02-27T16:35:44-06:00,2014-02-27T16:48:10-06:00,746
2/27/14,move,transport,2014-02-27T16:48:10-06:00,2014-02-27T16:58:10-06:00,600
2/27/14,move,walking,2014-02-27T16:58:10-06:00,2014-02-27T17:03:51-06:00,341
2/27/14,place,NTN24,2014-02-27T17:03:50-06:00,2014-02-27T22:57:58-06:00,21248
2/27/14,move,transport,2014-02-27T22:57:58-06:00,2014-02-27T23:14:02-06:00,964
2/27/14,place,2440 39th St NW,2014-02-27T23:14:02-06:00,2014-02-28T00:00:00-06:00,2758
2/28/14,place,2440 39th St NW,2014-02-28T00:00:00-06:00,2014-02-28T16:24:10-06:00,59050
2/28/14,move,walking,2014-02-28T16:24:10-06:00,2014-02-28T16:32:11-06:00,481
2/28/14,place,Surfside,2014-02-28T16:32:11-06:00,2014-02-28T16:36:20-06:00,249
2/28/14,move,walking,2014-02-28T16:36:20-06:00,2014-02-28T16:38:30-06:00,130
2/28/14,move,transport,2014-02-28T16:38:29-06:00,2014-02-28T16:58:18-06:00,1189
2/28/14,move,walking,2014-02-28T17:19:36-06:00,2014-02-28T17:23:05-06:00,209
2/28/14,place,NTN24,2014-02-28T17:23:05-06:00,2014-02-28T22:17:15-06:00,17650
2/28/14,move,transport,2014-02-28T22:17:15-06:00,2014-02-28T22:42:10-06:00,1495
