Date,Type,Name,Start,End,Duration
12/6/13,place,Home,2013-12-06T00:00:00-05:00,2013-12-06T09:24:21-05:00,33861
12/6/13,move,walking,2013-12-06T09:24:21-05:00,2013-12-06T09:47:02-05:00,1361
12/6/13,place,Darwin's Ltd.,2013-12-06T09:47:02-05:00,2013-12-06T10:34:54-05:00,2872
12/6/13,move,walking,2013-12-06T10:34:54-05:00,2013-12-06T10:39:08-05:00,254
12/6/13,move,transport,2013-12-06T10:39:07-05:00,2013-12-06T11:07:16-05:00,1689
12/6/13,place,IDG Enterprise,2013-12-06T11:07:16-05:00,2013-12-06T12:20:12-05:00,4376
12/6/13,move,walking,2013-12-06T12:20:12-05:00,2013-12-06T12:25:31-05:00,319
12/6/13,move,transport,2013-12-06T12:25:30-05:00,2013-12-06T12:59:02-05:00,2012
12/6/13,move,walking,2013-12-06T12:59:02-05:00,2013-12-06T13:05:45-05:00,403
12/6/13,place,Home,2013-12-06T13:05:45-05:00,2013-12-06T18:16:52-05:00,18667
12/6/13,move,walking,2013-12-06T18:16:52-05:00,2013-12-06T18:26:00-05:00,548
12/6/13,move,transport,2013-12-06T18:25:59-05:00,2013-12-06T18:32:34-05:00,395
12/6/13,move,walking,2013-12-06T18:32:34-05:00,2013-12-06T18:35:04-05:00,150
12/6/13,place,Place in East Cambridge,2013-12-06T18:35:04-05:00,2013-12-06T18:41:34-05:00,390
12/6/13,move,walking,2013-12-06T18:41:34-05:00,2013-12-06T18:53:09-05:00,695
12/6/13,place,Za Restaurant,2013-12-06T18:53:09-05:00,2013-12-06T19:33:56-05:00,2447
12/6/13,move,walking,2013-12-06T19:33:56-05:00,2013-12-06T19:37:48-05:00,232
12/6/13,move,transport,2013-12-06T19:37:48-05:00,2013-12-06T19:45:51-05:00,483
12/6/13,move,walking,2013-12-06T19:45:51-05:00,2013-12-06T19:54:22-05:00,511
12/6/13,place,Home,2013-12-06T19:54:22-05:00,2013-12-07T00:00:00-05:00,14738
