Date,Type,Name,Start,End,Duration
3/25/14,place,Home,2014-03-25T00:00:00-05:00,2014-03-25T09:12:57-05:00,33177
3/25/14,move,walking,2014-03-25T09:12:57-05:00,2014-03-25T09:17:04-05:00,247
3/25/14,place,Darwin's Ltd.,2014-03-25T09:17:03-05:00,2014-03-25T10:22:21-05:00,3918
3/25/14,move,transport,2014-03-25T10:22:22-05:00,2014-03-25T10:47:57-05:00,1535
3/25/14,place,IDG Enterprise,2014-03-25T10:47:56-05:00,2014-03-25T12:47:00-05:00,7144
3/25/14,move,walking,2014-03-25T12:47:00-05:00,2014-03-25T12:49:04-05:00,124
3/25/14,move,transport,2014-03-25T12:49:04-05:00,2014-03-25T12:53:12-05:00,248
3/25/14,place,Margarita's Mexican Restaurant,2014-03-25T12:53:11-05:00,2014-03-25T13:45:03-05:00,3112
3/25/14,move,walking,2014-03-25T13:45:03-05:00,2014-03-25T13:48:31-05:00,208
3/25/14,move,transport,2014-03-25T13:48:31-05:00,2014-03-25T14:14:33-05:00,1562
3/25/14,move,walking,2014-03-25T14:14:32-05:00,2014-03-25T14:29:04-05:00,872
3/25/14,place,Place in Old Cambridge,2014-03-25T14:29:04-05:00,2014-03-25T14:37:59-05:00,535
3/25/14,place,Proximate,2014-03-25T14:37:59-05:00,2014-03-25T19:25:26-05:00,17247
3/25/14,move,walking,2014-03-25T19:25:26-05:00,2014-03-25T19:38:18-05:00,772
3/25/14,place,Home,2014-03-25T19:38:18-05:00,2014-03-26T00:00:00-05:00,15702
