Date,Type,Name,Start,End,Duration
4/6/14,place,Drury Lane Theatre And Conference Center,2014-04-06T00:00:00-04:00,2014-04-06T01:37:15-04:00,5835
4/6/14,move,transport,2014-04-06T01:37:15-04:00,2014-04-06T01:42:25-04:00,310
4/6/14,place,Place in Oak Brook,2014-04-06T01:42:25-04:00,2014-04-06T01:47:54-04:00,329
4/6/14,move,transport,2014-04-06T01:47:54-04:00,2014-04-06T02:07:18-04:00,1164
4/6/14,place,Place in DuPage County,2014-04-06T02:07:18-04:00,2014-04-06T02:12:52-04:00,334
4/6/14,move,transport,2014-04-06T02:12:52-04:00,2014-04-06T02:39:05-04:00,1573
4/6/14,place,Fitzsimmons Home,2014-04-06T02:39:06-04:00,2014-04-06T13:48:41-04:00,40175
4/6/14,move,walking,2014-04-06T13:48:41-04:00,2014-04-06T14:00:19-04:00,698
4/6/14,place,Wildwood,2014-04-06T14:00:18-04:00,2014-04-06T14:49:38-04:00,2960
4/6/14,move,walking,2014-04-06T14:49:38-04:00,2014-04-06T15:02:00-04:00,742
4/6/14,place,Fitzsimmons Home,2014-04-06T15:02:00-04:00,2014-04-06T20:48:31-04:00,20791
4/6/14,move,transport,2014-04-06T20:48:31-04:00,2014-04-06T21:03:04-04:00,873
4/6/14,place,Marmion Academy & Abbey,2014-04-06T21:03:04-04:00,2014-04-06T21:14:55-04:00,711
4/6/14,move,transport,2014-04-06T21:14:55-04:00,2014-04-06T21:31:37-04:00,1002
4/6/14,place,Fitzsimmons Home,2014-04-06T21:31:37-04:00,2014-04-06T23:31:49-04:00,7212
4/6/14,move,transport,2014-04-06T23:31:49-04:00,2014-04-06T23:59:59-04:00,1690
