Date,Type,Name,Start,End,Duration
9/23/14,place,Home,2014-09-23T00:00:00-04:00,2014-09-23T07:47:54-04:00,28074
9/23/14,move,walking,2014-09-23T07:47:54-04:00,2014-09-23T08:11:23-04:00,1409
9/23/14,place,Spangler Center,2014-09-23T08:11:23-04:00,2014-09-23T08:51:55-04:00,2432
9/23/14,move,walking,2014-09-23T08:51:55-04:00,2014-09-23T08:56:01-04:00,246
9/23/14,place,Harvard Innovation Lab,2014-09-23T08:56:01-04:00,2014-09-23T15:06:05-04:00,22204
9/23/14,move,walking,2014-09-23T15:06:05-04:00,2014-09-23T15:29:16-04:00,1391
9/23/14,place,Home,2014-09-23T15:29:16-04:00,2014-09-24T00:00:00-04:00,30644
