Date,Type,Name,Start,End,Duration
1/31/14,place,Home,2014-01-31T00:00:00-06:00,2014-01-31T11:54:37-06:00,42877
1/31/14,move,walking,2014-01-31T11:54:37-06:00,2014-01-31T12:02:40-06:00,483
1/31/14,place,Proximate,2014-01-31T12:02:40-06:00,2014-01-31T14:34:06-06:00,9086
1/31/14,move,walking,2014-01-31T14:34:06-06:00,2014-01-31T14:55:21-06:00,1275
1/31/14,place,Place in Old Cambridge,2014-01-31T14:55:21-06:00,2014-01-31T16:34:54-06:00,5973
1/31/14,move,walking,2014-01-31T16:34:54-06:00,2014-01-31T16:53:38-06:00,1124
1/31/14,place,Home,2014-01-31T16:53:38-06:00,2014-01-31T17:19:49-06:00,1571
1/31/14,move,walking,2014-01-31T17:19:49-06:00,2014-01-31T17:29:22-06:00,573
1/31/14,place,Hong Kong,2014-01-31T17:29:22-06:00,2014-01-31T18:47:12-06:00,4670
1/31/14,move,walking,2014-01-31T18:47:12-06:00,2014-01-31T18:55:47-06:00,515
1/31/14,place,Home,2014-01-31T18:55:47-06:00,2014-02-01T00:00:00-06:00,18253
