Date,Type,Name,Start,End,Duration
2/10/14,place,Home,2014-02-10T00:00:00-06:00,2014-02-10T15:27:56-06:00,55676
2/10/14,move,transport,2014-02-10T15:27:56-06:00,2014-02-10T15:51:27-06:00,1411
2/10/14,move,walking,2014-02-10T15:51:27-06:00,2014-02-10T15:53:27-06:00,120
2/10/14,place,T3 Innovation Studio,2014-02-10T15:53:27-06:00,2014-02-10T17:17:40-06:00,5053
2/10/14,move,transport,2014-02-10T17:17:40-06:00,2014-02-10T17:53:12-06:00,2132
2/10/14,place,Home,2014-02-10T17:53:12-06:00,2014-02-11T00:00:00-06:00,22008
