Date,Type,Name,Start,End,Duration
6/18/14,place,Laura's Home,2014-06-18T00:00:00-05:00,2014-06-18T08:32:49-05:00,30769
6/18/14,move,walking,2014-06-18T08:32:49-05:00,2014-06-18T08:43:24-05:00,635
6/18/14,place,CVS/pharmacy,2014-06-18T08:43:24-05:00,2014-06-18T09:13:48-05:00,1824
6/18/14,move,transport,2014-06-18T09:13:48-05:00,2014-06-18T09:39:50-05:00,1562
6/18/14,move,walking,2014-06-18T09:39:50-05:00,2014-06-18T09:45:52-05:00,362
6/18/14,place,NTN24,2014-06-18T09:45:52-05:00,2014-06-18T11:12:58-05:00,5226
6/18/14,move,walking,2014-06-18T11:12:58-05:00,2014-06-18T11:28:39-05:00,941
6/18/14,place,NTN24,2014-06-18T11:28:39-05:00,2014-06-18T14:13:12-05:00,9873
6/18/14,move,walking,2014-06-18T14:13:12-05:00,2014-06-18T14:19:47-05:00,395
6/18/14,move,transport,2014-06-18T14:19:47-05:00,2014-06-18T14:28:34-05:00,527
6/18/14,place,Union Station,2014-06-18T14:28:34-05:00,2014-06-18T14:40:52-05:00,738
6/18/14,place,Place in East End,2014-06-18T14:41:27-05:00,2014-06-18T15:05:05-05:00,1418
6/18/14,move,transport,2014-06-18T15:05:05-05:00,2014-06-18T23:14:44-05:00,29379
6/18/14,place,Place in Uptown,2014-06-18T23:14:44-05:00,2014-06-18T23:41:47-05:00,1623
6/18/14,move,transport,2014-06-18T23:41:47-05:00,2014-06-18T23:59:59-05:00,1092
