Date,Type,Name,Start,End,Duration
6/26/14,place,Pablo Botero's Home,2014-06-26T00:00:00-05:00,2014-06-26T10:46:05-05:00,38765
6/26/14,move,walking,2014-06-26T10:46:05-05:00,2014-06-26T10:50:08-05:00,243
6/26/14,place,Place in Castillogrande,2014-06-26T10:50:08-05:00,2014-06-26T10:59:55-05:00,587
6/26/14,move,walking,2014-06-26T10:59:55-05:00,2014-06-26T11:02:27-05:00,152
6/26/14,place,Place in Castillogrande,2014-06-26T11:02:26-05:00,2014-06-26T11:08:32-05:00,366
6/26/14,move,walking,2014-06-26T11:08:32-05:00,2014-06-26T11:27:39-05:00,1147
6/26/14,place,Place in Bocagrande,2014-06-26T11:27:39-05:00,2014-06-26T11:34:02-05:00,383
6/26/14,move,walking,2014-06-26T11:34:02-05:00,2014-06-26T11:52:03-05:00,1081
6/26/14,move,transport,2014-06-26T11:52:03-05:00,2014-06-26T12:05:44-05:00,821
6/26/14,place,Castillo de San Felipe de Barajas,2014-06-26T12:05:43-05:00,2014-06-26T12:49:51-05:00,2648
6/26/14,move,walking,2014-06-26T12:49:51-05:00,2014-06-26T12:51:27-05:00,96
6/26/14,place,Castillo de San Felipe de Barajas,2014-06-26T12:51:27-05:00,2014-06-26T13:02:09-05:00,642
6/26/14,move,walking,2014-06-26T13:02:09-05:00,2014-06-26T13:06:40-05:00,271
6/26/14,place,Castillo de San Felipe de Barajas,2014-06-26T13:06:40-05:00,2014-06-26T13:21:48-05:00,908
6/26/14,move,walking,2014-06-26T13:21:48-05:00,2014-06-26T13:26:26-05:00,278
6/26/14,place,Castillo de San Felipe de Barajas,2014-06-26T13:26:26-05:00,2014-06-26T14:13:28-05:00,2822
6/26/14,move,walking,2014-06-26T14:13:28-05:00,2014-06-26T14:22:58-05:00,570
6/26/14,place,Falabella,2014-06-26T14:22:58-05:00,2014-06-26T15:04:16-05:00,2478
6/26/14,move,walking,2014-06-26T15:04:16-05:00,2014-06-26T15:42:41-05:00,2305
6/26/14,place,Centro Histórico de Cartagena / Ciudad Amurallada,2014-06-26T15:42:41-05:00,2014-06-26T15:50:22-05:00,461
6/26/14,place,Crepes & Waffles Centro,2014-06-26T15:50:23-05:00,2014-06-26T17:20:46-05:00,5423
6/26/14,move,walking,2014-06-26T17:20:46-05:00,2014-06-26T17:48:13-05:00,1647
6/26/14,place,Falabella,2014-06-26T17:48:13-05:00,2014-06-26T18:41:49-05:00,3216
6/26/14,move,walking,2014-06-26T18:41:49-05:00,2014-06-26T18:45:59-05:00,250
6/26/14,move,transport,2014-06-26T18:45:59-05:00,2014-06-26T18:49:46-05:00,227
6/26/14,place,Place in Centro,2014-06-26T18:49:45-05:00,2014-06-26T18:50:54-05:00,69
6/26/14,move,walking,2014-06-26T18:50:54-05:00,2014-06-26T19:08:01-05:00,1027
6/26/14,place,Crepes & Waffles Centro,2014-06-26T19:08:01-05:00,2014-06-26T22:39:59-05:00,12718
6/26/14,move,walking,2014-06-26T22:39:59-05:00,2014-06-26T22:45:08-05:00,309
6/26/14,place,Place in Centro,2014-06-26T22:45:08-05:00,2014-06-26T22:54:07-05:00,539
6/26/14,move,transport,2014-06-26T22:54:07-05:00,2014-06-26T23:03:04-05:00,537
6/26/14,place,Pablo Botero's Home,2014-06-26T23:16:31-05:00,2014-06-27T00:00:00-05:00,2609
