Date,Type,Name,Start,End,Duration
8/1/14,place,Laura's Home,2014-08-01T00:00:00-04:00,2014-08-01T10:27:16-04:00,37636
8/1/14,move,walking,2014-08-01T10:27:16-04:00,2014-08-01T10:33:38-04:00,382
8/1/14,place,"WMATA Bus Stop #1001805 (31, 32, 36)",2014-08-01T10:33:38-04:00,2014-08-01T10:41:32-04:00,474
8/1/14,move,bus,2014-08-01T10:41:32-04:00,2014-08-01T11:06:40-04:00,1508
8/1/14,move,walking,2014-08-01T11:06:39-04:00,2014-08-01T11:12:44-04:00,365
8/1/14,place,Starbucks,2014-08-01T11:12:44-04:00,2014-08-01T12:29:23-04:00,4599
8/1/14,move,walking,2014-08-01T12:29:23-04:00,2014-08-01T12:51:35-04:00,1332
8/1/14,place,Farragut Square,2014-08-01T12:51:34-04:00,2014-08-01T13:53:22-04:00,3708
8/1/14,move,walking,2014-08-01T13:53:22-04:00,2014-08-01T14:04:42-04:00,680
8/1/14,place,"NTN24-Washington, DC",2014-08-01T14:04:42-04:00,2014-08-01T18:32:37-04:00,16075
8/1/14,move,walking,2014-08-01T18:32:37-04:00,2014-08-01T18:49:28-04:00,1011
8/1/14,place,Chinatown Express,2014-08-01T18:49:28-04:00,2014-08-01T19:44:49-04:00,3321
8/1/14,move,walking,2014-08-01T19:44:49-04:00,2014-08-01T20:07:57-04:00,1388
8/1/14,place,"WMATA Bus Stop #1001060 (11Y, 32, 36)",2014-08-01T20:07:56-04:00,2014-08-01T20:23:14-04:00,918
8/1/14,move,bus,2014-08-01T20:23:14-04:00,2014-08-01T20:51:25-04:00,1691
8/1/14,move,walking,2014-08-01T20:51:25-04:00,2014-08-01T20:57:29-04:00,364
8/1/14,place,Laura's Home,2014-08-01T20:57:29-04:00,2014-08-02T00:00:00-04:00,10951
