Date,Type,Name,Start,End,Duration
8/1/14,place,Laura's Home,2014-08-01T00:00:00-05:00,2014-08-01T09:27:16-05:00,34036
8/1/14,move,walking,2014-08-01T09:27:16-05:00,2014-08-01T09:33:38-05:00,382
8/1/14,place,"WMATA Bus Stop #1001805 (31, 32, 36)",2014-08-01T09:33:38-05:00,2014-08-01T09:41:32-05:00,474
8/1/14,move,bus,2014-08-01T09:41:32-05:00,2014-08-01T10:06:40-05:00,1508
8/1/14,move,walking,2014-08-01T10:06:39-05:00,2014-08-01T10:12:44-05:00,365
8/1/14,place,Starbucks,2014-08-01T10:12:44-05:00,2014-08-01T11:29:23-05:00,4599
8/1/14,move,walking,2014-08-01T11:29:23-05:00,2014-08-01T11:51:35-05:00,1332
8/1/14,place,Farragut Square,2014-08-01T11:51:34-05:00,2014-08-01T12:53:22-05:00,3708
8/1/14,move,walking,2014-08-01T12:53:22-05:00,2014-08-01T13:04:42-05:00,680
8/1/14,place,"NTN24-Washington, DC",2014-08-01T13:04:42-05:00,2014-08-01T17:32:37-05:00,16075
8/1/14,move,walking,2014-08-01T17:32:37-05:00,2014-08-01T17:49:28-05:00,1011
8/1/14,place,Chinatown Express,2014-08-01T17:49:28-05:00,2014-08-01T18:44:49-05:00,3321
8/1/14,move,walking,2014-08-01T18:44:49-05:00,2014-08-01T19:07:57-05:00,1388
8/1/14,place,"WMATA Bus Stop #1001060 (11Y, 32, 36)",2014-08-01T19:07:56-05:00,2014-08-01T19:23:14-05:00,918
8/1/14,move,bus,2014-08-01T19:23:14-05:00,2014-08-01T19:51:25-05:00,1691
8/1/14,move,walking,2014-08-01T19:51:25-05:00,2014-08-01T19:57:29-05:00,364
8/1/14,place,Laura's Home,2014-08-01T19:57:29-05:00,2014-08-02T00:00:00-05:00,14551
8/2/14,place,Laura's Home,2014-08-02T00:00:00-05:00,2014-08-02T10:57:51-05:00,39471
8/2/14,move,walking,2014-08-02T10:57:51-05:00,2014-08-02T11:44:58-05:00,2827
