Date,Type,Name,Start,End,Duration
11/6/14,place,Will Whitney and Benjana Guraziu Home,2014-11-06T19:09:41-06:00,2014-11-06T21:31:40-06:00,8519
11/6/14,move,walking,2014-11-06T21:31:40-06:00,2014-11-06T21:41:05-06:00,565
11/6/14,place,Home,2014-11-06T21:41:05-06:00,2014-11-07T00:00:00-06:00,8335
11/7/14,place,Home,2014-11-07T00:00:00-06:00,2014-11-07T06:21:55-06:00,22915
11/7/14,move,walking,2014-11-07T06:21:55-06:00,2014-11-07T06:45:57-06:00,1442
11/7/14,place,Spangler Center,2014-11-07T06:45:57-06:00,2014-11-07T07:49:23-06:00,3806
11/7/14,move,walking,2014-11-07T07:52:10-06:00,2014-11-07T07:54:16-06:00,126
11/7/14,place,Aldrich Hall,2014-11-07T07:54:15-06:00,2014-11-07T11:53:41-06:00,14366
11/7/14,move,walking,2014-11-07T11:53:41-06:00,2014-11-07T12:00:10-06:00,389
11/7/14,place,Aldrich Hall,2014-11-07T12:00:10-06:00,2014-11-07T14:12:22-06:00,7932
11/7/14,move,walking,2014-11-07T14:12:22-06:00,2014-11-07T14:42:44-06:00,1822
11/7/14,place,Floyd's 99 Barbershop,2014-11-07T14:42:44-06:00,2014-11-07T15:35:22-06:00,3158
11/7/14,move,walking,2014-11-07T15:35:22-06:00,2014-11-07T15:54:37-06:00,1155
11/7/14,place,Home,2014-11-07T15:54:36-06:00,2014-11-07T17:00:13-06:00,3937
11/7/14,move,walking,2014-11-07T17:00:13-06:00,2014-11-07T17:10:41-06:00,628
11/7/14,place,Ethan Bernstein Home,2014-11-07T17:10:41-06:00,2014-11-07T19:36:59-06:00,8778
11/7/14,move,walking,2014-11-07T19:36:59-06:00,2014-11-07T19:48:42-06:00,703
11/7/14,place,Tasty Burger,2014-11-07T19:48:42-06:00,2014-11-08T00:00:00-06:00,15078
11/8/14,place,Tasty Burger,2014-11-08T00:00:00-06:00,2014-11-08T00:03:03-06:00,183
11/8/14,move,walking,2014-11-08T00:03:03-06:00,2014-11-08T00:09:37-06:00,394
11/8/14,place,Daedalus,2014-11-08T00:09:38-06:00,2014-11-08T01:21:32-06:00,4314
11/8/14,move,walking,2014-11-08T01:21:32-06:00,2014-11-08T01:26:41-06:00,309
11/8/14,place,Ethan Bernstein Home,2014-11-08T01:26:41-06:00,2014-11-08T01:51:43-06:00,1502
11/8/14,move,walking,2014-11-08T01:51:43-06:00,2014-11-08T01:58:19-06:00,396
11/8/14,place,Home,2014-11-08T01:58:18-06:00,2014-11-08T15:35:50-06:00,49052
11/8/14,move,transport,2014-11-08T15:35:50-06:00,2014-11-08T17:24:54-06:00,6544
11/8/14,move,walking,2014-11-08T17:24:53-06:00,2014-11-08T17:31:01-06:00,368
11/8/14,place,Showcase Providence Place & IMAX,2014-11-08T17:31:02-06:00,2014-11-08T20:34:24-06:00,11002
11/8/14,move,walking,2014-11-08T20:34:24-06:00,2014-11-08T20:42:02-06:00,458
11/8/14,place,Place in Providence Place Mall,2014-11-08T20:42:03-06:00,2014-11-08T20:51:03-06:00,540
11/8/14,place,Place in Providence,2014-11-08T20:53:31-06:00,2014-11-08T21:03:25-06:00,594
11/8/14,move,transport,2014-11-08T21:03:25-06:00,2014-11-08T22:09:30-06:00,3965
11/8/14,move,walking,2014-11-08T22:09:29-06:00,2014-11-08T22:11:47-06:00,138
11/8/14,place,Home,2014-11-08T22:11:48-06:00,2014-11-09T00:00:00-06:00,6492
11/9/14,place,Home,2014-11-09T00:00:00-06:00,2014-11-09T10:42:29-06:00,38549
11/9/14,move,walking,2014-11-09T10:42:29-06:00,2014-11-09T10:55:08-06:00,759
11/9/14,place,Park,2014-11-09T10:55:08-06:00,2014-11-09T11:45:50-06:00,3042
11/9/14,move,walking,2014-11-09T11:45:50-06:00,2014-11-09T11:58:27-06:00,757
11/9/14,place,Home,2014-11-09T11:58:27-06:00,2014-11-10T00:00:00-06:00,43293
11/10/14,place,Home,2014-11-10T00:00:00-06:00,2014-11-10T06:37:46-06:00,23866
11/10/14,move,walking,2014-11-10T06:37:46-06:00,2014-11-10T07:01:55-06:00,1449
11/10/14,place,Aldrich Hall,2014-11-10T07:01:55-06:00,2014-11-10T11:14:34-06:00,15159
11/10/14,move,walking,2014-11-10T11:14:34-06:00,2014-11-10T11:45:36-06:00,1862
11/10/14,place,Home,2014-11-10T11:45:36-06:00,2014-11-10T17:59:44-06:00,22448
11/10/14,move,walking,2014-11-10T17:59:44-06:00,2014-11-10T18:12:51-06:00,787
11/10/14,place,Tasty Burger,2014-11-10T18:12:50-06:00,2014-11-10T22:33:44-06:00,15654
11/10/14,move,walking,2014-11-10T22:33:44-06:00,2014-11-10T22:47:22-06:00,818
11/10/14,place,Home,2014-11-10T22:47:21-06:00,2014-11-11T00:00:00-06:00,4359
11/11/14,place,Home,2014-11-11T00:00:00-06:00,2014-11-11T13:03:37-06:00,47017
11/11/14,move,walking,2014-11-11T13:03:37-06:00,2014-11-11T13:29:13-06:00,1536
11/11/14,place,Michaels,2014-11-11T13:29:13-06:00,2014-11-11T14:04:05-06:00,2092
11/11/14,move,walking,2014-11-11T14:04:05-06:00,2014-11-11T14:28:17-06:00,1452
11/11/14,place,Home,2014-11-11T14:28:16-06:00,2014-11-11T21:27:30-06:00,25154
11/11/14,move,walking,2014-11-11T21:27:30-06:00,2014-11-11T21:45:48-06:00,1098
11/11/14,place,Home,2014-11-11T21:45:48-06:00,2014-11-12T00:00:00-06:00,8052
11/12/14,place,Home,2014-11-12T00:00:00-06:00,2014-11-12T06:43:57-06:00,24237
11/12/14,move,walking,2014-11-12T06:43:57-06:00,2014-11-12T07:09:01-06:00,1504
11/12/14,place,Spangler Center,2014-11-12T07:09:01-06:00,2014-11-12T07:56:35-06:00,2854
11/12/14,move,walking,2014-11-12T07:56:35-06:00,2014-11-12T08:01:01-06:00,266
11/12/14,place,Aldrich Hall,2014-11-12T08:01:01-06:00,2014-11-12T15:25:57-06:00,26696
11/12/14,move,walking,2014-11-12T15:25:57-06:00,2014-11-12T16:53:40-06:00,5263
11/12/14,place,Impact Hub Boston,2014-11-12T16:53:40-06:00,2014-11-12T17:52:55-06:00,3555
11/12/14,move,walking,2014-11-12T17:52:55-06:00,2014-11-12T17:55:32-06:00,157
11/12/14,place,Impact Hub Boston,2014-11-12T17:55:33-06:00,2014-11-12T18:09:33-06:00,840
11/12/14,move,transport,2014-11-12T18:09:33-06:00,2014-11-12T18:26:03-06:00,990
11/12/14,move,walking,2014-11-12T18:26:03-06:00,2014-11-12T18:29:16-06:00,193
11/12/14,place,Aldrich Hall,2014-11-12T18:29:16-06:00,2014-11-12T19:04:51-06:00,2135
11/12/14,move,walking,2014-11-12T19:04:51-06:00,2014-11-12T19:09:46-06:00,295
11/12/14,place,Morris Hall,2014-11-12T19:09:46-06:00,2014-11-12T20:18:46-06:00,4140
11/12/14,move,walking,2014-11-12T20:18:46-06:00,2014-11-12T20:35:17-06:00,991
11/12/14,place,Border Cafe,2014-11-12T20:35:17-06:00,2014-11-12T23:08:46-06:00,9209
11/12/14,move,walking,2014-11-12T23:08:46-06:00,2014-11-12T23:23:30-06:00,884
11/12/14,place,Home,2014-11-12T23:23:30-06:00,2014-11-13T00:00:00-06:00,2190
11/13/14,place,Home,2014-11-13T00:00:00-06:00,2014-11-13T06:42:57-06:00,24177
11/13/14,move,walking,2014-11-13T06:42:57-06:00,2014-11-13T07:05:05-06:00,1328
11/13/14,place,Aldrich Hall,2014-11-13T07:05:05-06:00,2014-11-13T11:16:42-06:00,15097
11/13/14,move,walking,2014-11-13T11:16:42-06:00,2014-11-13T11:39:48-06:00,1386
11/13/14,place,Home,2014-11-13T11:39:48-06:00,2014-11-13T12:15:38-06:00,2150
11/13/14,move,walking,2014-11-13T12:15:38-06:00,2014-11-13T12:26:20-06:00,642
11/13/14,place,Petsi Pies,2014-11-13T12:26:20-06:00,2014-11-13T13:02:04-06:00,2144
11/13/14,move,walking,2014-11-13T13:02:04-06:00,2014-11-13T13:13:37-06:00,693
11/13/14,place,Home,2014-11-13T13:13:37-06:00,2014-11-14T00:00:00-06:00,38783
11/14/14,place,Home,2014-11-14T00:00:00-06:00,2014-11-14T06:51:16-06:00,24676
11/14/14,move,walking,2014-11-14T06:51:16-06:00,2014-11-14T06:51:59-06:00,43
11/14/14,move,running,2014-11-14T06:51:59-06:00,2014-11-14T06:55:59-06:00,240
11/14/14,move,walking,2014-11-14T06:55:59-06:00,2014-11-14T07:06:00-06:00,601
11/14/14,place,Spangler Center,2014-11-14T07:06:00-06:00,2014-11-14T07:54:52-06:00,2932
11/14/14,move,walking,2014-11-14T07:54:52-06:00,2014-11-14T07:58:26-06:00,214
11/14/14,place,Harvard Innovation Lab,2014-11-14T07:58:25-06:00,2014-11-14T09:22:03-06:00,5018
11/14/14,move,walking,2014-11-14T09:22:03-06:00,2014-11-14T09:29:29-06:00,446
11/14/14,place,Aldrich Hall,2014-11-14T09:29:28-06:00,2014-11-14T16:18:06-06:00,24518
11/14/14,move,walking,2014-11-14T16:18:06-06:00,2014-11-14T16:22:28-06:00,262
11/14/14,place,Morgan Hall,2014-11-14T16:22:28-06:00,2014-11-14T17:22:44-06:00,3616
11/14/14,move,walking,2014-11-14T17:22:44-06:00,2014-11-14T17:35:48-06:00,784
